short,category,sub_category,fmt,total_count,nfields,n_noncommon,noncommon_fields
tour_cruise,culture,tourism,v1,3,48,29,APVCANCELYMD BDNGSRVNM CAPT CHAIRCNT CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM ENGSTNTRNMADDR ENGSTNTRNMNM FACILAR FACILSCP INSURENDDT INSURORGNM INSURSTDT JISGNUMLAY MEETSAMTIMESYGSTF MNFACTREARTCLCN NEARENVNM REGNSENM SHPCNT SHPINFO SHPTOTTONS STAGEAR STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY
tourism_operator,culture,tourism,v1,728,32,13,AFC APVCANCELYMD CAPT CLGENDDT CLGSTDT CULPHYEDCOBNM FACILSCP INSURENDDT INSURORGNM INSURSTDT PLNINSURENDDT PLNINSURSTDT SITEAREA
tourist_cabaret,culture,performance,v1,33,48,29,APVCANCELYMD BDNGSRVNM CAPT CHAIRCNT CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM ENGSTNTRNMADDR ENGSTNTRNMNM FACILAR FACILSCP INSURENDDT INSURORGNM INSURSTDT JISGNUMLAY MEETSAMTIMESYGSTF MNFACTREARTCLCN NEARENVNM REGNSENM SHPCNT SHPINFO SHPTOTTONS STAGEAR STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY
tourist_performance_hall,culture,performance,v1,6,48,29,APVCANCELYMD BDNGSRVNM CAPT CHAIRCNT CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM ENGSTNTRNMADDR ENGSTNTRNMNM FACILAR FACILSCP INSURENDDT INSURORGNM INSURSTDT JISGNUMLAY MEETSAMTIMESYGSTF MNFACTREARTCLCN NEARENVNM REGNSENM SHPCNT SHPINFO SHPTOTTONS STAGEAR STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY
traditional_temple,culture,tourism,v1,65,30,11,APVCANCELYMD ASGNCANCEL ASGNCANCELWHY ASGNCANCELYMD BELVNUM CLGENDDT CLGSTDT ESTBHDATE MONKNUM ORIGINHIST TDTPNM
video_distribution,culture,film_video,v1,1638,34,15,APVCANCELYMD BDNGSRVNM BFGAMEOCPTECTCOBNM CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR JISGNUMLAY MNFACTREARTCLCN NEARENVNM PRVDGATHINNM REGNSENM TOTNUMLAY UNDERNUMLAY
video_production,culture,film_video,v1,12821,32,13,APVCANCELYMD BDNGSRVNM CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR JISGNUMLAY MNFACTREARTCLCN NEARENVNM REGNSENM TOTNUMLAY UNDERNUMLAY
video_small_theater,culture,film_video,v1,39,50,31,APVCANCELYMD AUTOCHAAIRYN BDNGSRVNM BFGAMEOCPTECTCOBNM BGROOMCNT BGROOMYN CLGENDDT CLGSTDT CNVEFACILYN CULPHYEDCOBNM CULWRKRSENM EMERSTAIRYN EMEXYN FACILAR FIREFACILYN JISGNUMLAY LGHTFACILINILLU LGHTFACILYN MNFACTREARTCLCN NEARENVNM NOROOMCNT PASGBRETH PRVDGATHINNM REGNSENM SOUARFACILYN SOUNDFACILYN SPECLGHTYN TOTGASYSCNT TOTNUMLAY UNDERNUMLAY VDORETORNM
video_viewing_room,culture,film_video,v1,1347,50,31,APVCANCELYMD AUTOCHAAIRYN BDNGSRVNM BFGAMEOCPTECTCOBNM BGROOMCNT BGROOMYN CLGENDDT CLGSTDT CNVEFACILYN CULPHYEDCOBNM CULWRKRSENM EMERSTAIRYN EMEXYN FACILAR FIREFACILYN JISGNUMLAY LGHTFACILINILLU LGHTFACILYN MNFACTREARTCLCN NEARENVNM NOROOMCNT PASGBRETH PRVDGATHINNM REGNSENM SOUARFACILYN SOUNDFACILYN SPECLGHTYN TOTGASYSCNT TOTNUMLAY UNDERNUMLAY VDORETORNM
video_viewing_service,culture,film_video,v1,1366,50,31,APVCANCELYMD AUTOCHAAIRYN BDNGSRVNM BFGAMEOCPTECTCOBNM BGROOMCNT BGROOMYN CLGENDDT CLGSTDT CNVEFACILYN CULPHYEDCOBNM CULWRKRSENM EMERSTAIRYN EMEXYN FACILAR FIREFACILYN JISGNUMLAY LGHTFACILINILLU LGHTFACILYN MNFACTREARTCLCN NEARENVNM NOROOMCNT PASGBRETH PRVDGATHINNM REGNSENM SOUARFACILYN SOUNDFACILYN SPECLGHTYN TOTGASYSCNT TOTNUMLAY UNDERNUMLAY VDORETORNM
yacht_marina,culture,sports,v1,1,30,11,APVCANCELYMD BDNGDNGNUM BDNGYAREA BUPNM CLGENDDT CLGSTDT CULPHYEDCOBNM INSURJNYNCODE LDERCNT MEMCOLLTOTSTFNUM PUPRSENM
youth_game_arcade,culture,game,v1,4137,50,31,APVCANCELYMD AUTOCHAAIRYN BDNGSRVNM BFGAMEOCPTECTCOBNM BGROOMCNT BGROOMYN CLGENDDT CLGSTDT CNVEFACILYN CULPHYEDCOBNM CULWRKRSENM EMERSTAIRYN EMEXYN FACILAR FIREFACILYN JISGNUMLAY LGHTFACILINILLU LGHTFACILYN MNFACTREARTCLCN NEARENVNM NOROOMCNT PASGBRETH PRVDGATHINNM REGNSENM SOUARFACILYN SOUNDFACILYN SPECLGHTYN TOTGASYSCNT TOTNUMLAY UNDERNUMLAY VDORETORNM
bakery,food,bakery,v1,16640,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
container_pkg_mfg,food,manufacturing,v1,415,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
contract_meal_service,food,meal_service,v1,5751,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
edible_ice_sale,food,sale,v1,362,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
entertainment_bar,food,bar,v1,4987,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
food_additive_mfg,food,manufacturing,v1,143,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
food_cold_storage,food,logistics,v1,50,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
food_mfg,food,manufacturing,v1,10886,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
food_sale_etc,food,sale,v1,1958,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
food_subdivision,food,sale,v1,8927,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
food_transport,food,logistics,v1,984,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
food_vending,food,vending,v1,68275,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
foreigner_entertainment_bar,food,bar,v1,8,48,29,APVCANCELYMD BDNGSRVNM CAPT CHAIRCNT CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM ENGSTNTRNMADDR ENGSTNTRNMNM FACILAR FACILSCP INSURENDDT INSURORGNM INSURSTDT JISGNUMLAY MEETSAMTIMESYGSTF MNFACTREARTCLCN NEARENVNM REGNSENM SHPCNT SHPINFO SHPTOTTONS STAGEAR STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY
